0.000000000E0,9.955587006E2,0.000000000E0,5.096565000E-1,-1.896329020E-3
1.019313000E0,9.955589294E2,-1.932952822E-3,1.528914000E0,-2.212622201E-2
2.038515000E0,9.955615997E2,-2.448404255E-2,2.548207000E0,-3.729172054E-2
3.057899000E0,9.955661011E2,-6.249862580E-2,3.567582500E0,-3.097150266E-2
4.077266000E0,9.955698395E2,-9.406995355E-2,4.627521500E0,2.927330720E-3
5.177777000E0,9.955694580E2,-9.084839389E-2,6.120922000E0,2.937564350E-2
7.064067000E0,9.955628967E2,-3.543741132E-2,8.007691000E0,4.540702182E-2
8.951315000E0,9.955527496E2,5.025689980E-2,9.894970500E0,2.184939964E-2
1.083862600E1,9.955478668E2,9.149351208E-2,1.178215150E1,-7.511775750E-3
1.272567700E1,9.955495453E2,7.731840814E-2,1.366915400E1,-9.902379563E-3
1.461263100E1,9.955517578E2,5.863307341E-2,1.555618900E1,1.536443065E-3
1.649974700E1,9.955514145E2,6.153251971E-2,1.744307800E1,4.320169061E-2
1.838640900E1,9.955417633E2,1.430395077E-1,1.932981200E1,8.708079625E-2
2.027321500E1,9.955223083E2,3.073440766E-1,2.121671850E1,1.109755037E-1
2.216022200E1,9.954975128E2,5.167556288E-1,2.310394200E1,1.123178628E-1
2.404766200E1,9.954724121E2,7.287488558E-1,2.499124750E1,1.145555969E-1
2.593483300E1,9.954468155E2,9.449348561E-1,2.687848850E1,1.084036987E-1
2.782214400E1,9.954225922E2,1.149526349E0,2.876572600E1,1.058532870E-1
2.970930800E1,9.953989410E2,1.349288862E0,3.065292800E1,1.174606558E-1
3.159654800E1,9.953726959E2,1.570965310E0,3.254019100E1,1.131920772E-1
3.348383400E1,9.953474045E2,1.784591132E0,3.442722950E1,1.096377831E-1
3.537062500E1,9.953229141E2,1.991454715E0,3.631409450E1,1.212435411E-1
3.725756400E1,9.952958298E2,2.220233881E0,3.820057650E1,1.248929048E-1
3.914358900E1,9.952679443E2,2.455785022E0,4.008710950E1,1.267069189E-1
4.103063000E1,9.952396393E2,2.694886173E0,4.197411300E1,1.144189624E-1
4.291759600E1,9.952140808E2,2.910790864E0,4.386074850E1,1.224909110E-1
4.480390100E1,9.951867294E2,3.141846082E0,4.574729000E1,1.110192761E-1
4.669067900E1,9.951619339E2,3.351314810E0,4.763355150E1,1.102278448E-1
4.857642400E1,9.951373291E2,3.559176417E0,4.951931700E1,1.129620124E-1
5.046221000E1,9.951121140E2,3.772198599E0,5.140520100E1,1.074843329E-1
5.234819200E1,9.950881195E2,3.974912116E0,5.329136600E1,1.050736329E-1
5.423454000E1,9.950646591E2,4.173117553E0,5.517761400E1,1.127761360E-1
5.612068800E1,9.950394821E2,4.385830036E0,5.706375600E1,1.097033380E-1
5.800682400E1,9.950149918E2,4.592745451E0,5.894929650E1,1.140496071E-1
5.989176900E1,9.949895477E2,4.807722688E0,6.083449400E1,1.201755678E-1
6.177721900E1,9.949627304E2,5.034307712E0,6.272005250E1,1.160619779E-1
6.366288600E1,9.949368286E2,5.253161954E0,6.460568650E1,1.189745040E-1
6.554848700E1,9.949102783E2,5.477500398E0,6.649143100E1,1.100711407E-1
6.743437500E1,9.948857117E2,5.685082241E0,6.837755550E1,1.021852578E-1
6.932073600E1,9.948628998E2,5.877840526E0,7.026385800E1,1.066367319E-1
7.120698000E1,9.948390961E2,6.078983422E0,7.214959900E1,1.361057787E-1
7.309221800E1,9.948087311E2,6.335575208E0,7.403505250E1,1.371037593E-1
7.497788700E1,9.947781372E2,6.594107517E0,7.592089900E1,1.316117202E-1
7.686391100E1,9.947487640E2,6.842330380E0,7.780698950E1,1.324601783E-1
7.875006800E1,9.947192001E2,7.092171072E0,7.969313150E1,1.317817720E-1
8.063619500E1,9.946897888E2,7.340728230E0,8.157880900E1,1.149177247E-1
8.252142300E1,9.946641541E2,7.557374343E0,8.346402450E1,1.115013251E-1
8.440662600E1,9.946392822E2,7.767576975E0,8.534928500E1,1.051694495E-1
8.629194400E1,9.946158218E2,7.965854831E0,8.723421500E1,1.067545079E-1
8.817648600E1,9.945920181E2,8.167038185E0,8.911923150E1,1.000338559E-1
9.006197700E1,9.945697021E2,8.355651120E0,9.100439350E1,9.989953365E-2
9.194681000E1,9.945474243E2,8.543945058E0,9.288972650E1,1.085680920E-1
9.383264300E1,9.945232010E2,8.748686349E0,9.477541150E1,1.217546988E-1
9.571818000E1,9.944960403E2,8.978259338E0,9.666103400E1,1.113157286E-1
9.760388800E1,9.944712067E2,9.188168298E0,9.854680300E1,9.694797045E-2
9.948971800E1,9.944495773E2,9.370995689E0,1.004326685E2,9.557817083E-2
